mander samuel s,1,"Mander, Samuel S.",ltr
marnell john,1,"Marnell, John",ltr
بهاء الدين احمد,1,"بهاء الدين، احمد.",rtl
ibn alarabi muhammad ibn abd allah,1,"Ibn al-Arabi, Muhammad ibn Abd Allah",ltr
ibn alarmanazi ghayth ibn ʻali 1051 or 10521115 or 1116,2,"Ibn al-Armanāzī, Ghayth ibn ʻAlī, 1051 or 1052-1115 or 1116",ltr
ibn alʻarabi alsiddiq,2,"Ibn al-ʻArabī, al-Ṣiddīq",ltr
ibn alʻarabi,8,"Ibn al-ʻArabī",ltr
ibn ʻabd albarr yusuf ibn ʻabd allah 978 or 9791071,111,"Ibn ʻAbd al-Barr, Yūsuf ibn ʻAbd Allāh, 978 or 979-1071",ltr
ibn abd almalik azizi,1,"Ibn Abd al-Malik, Azizi",ltr
